ID,Password,Expected Strength,Actual Strength,Score,Entropy,Effective Entropy,Attack Type,Estimated Crack Time,Category
218,`0n~+QajeoigVP3]6w$hS_HK,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
146,Network@Admin5,Moderate,Moderate,45,91.76,61.76,Dictionary Attack,Several Hours,Moderate Password
191,j(5W?xAOJMIUYERQtx,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
221,V](Tj_[TB'tFz4KemOV8>/bF,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
252,>CC=wB&tU>kVYog/}-`|Y./i,Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
4,123123,Very Weak,Very Weak,0,19.93,0.0,Sequential Guessing,Instantly,Common Password
106,ffff6666,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
54,Security@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
134,Books#Shelf9,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
2,12345678,Very Weak,Very Weak,0,26.58,0.0,Pattern Attack,Instantly,Common Password
132,Coding#Life88,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
104,dddd4444,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
50,Teacher@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
81,qwerty123,Weak,Very Weak,10,46.53,3.53,Pattern Attack,Instantly,Pattern Password
206,"[D&xr<E78m&TL_?=r{}G9""C_",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
35,pak786,Very Weak,Very Weak,20,31.02,0.0,Brute Force Attack,Instantly,Common Password
92,987654321,Weak,Very Weak,0,29.9,0.0,Pattern Attack,Instantly,Pattern Password
53,Learning@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
242,Os4`hY9Ye\!<@A`~c:Iu+-vb,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
14,welcome,Very Weak,Very Weak,0,32.9,0.0,Dictionary Attack,Instantly,Common Password
89,zxc12345,Weak,Very Weak,20,41.36,0.0,Sequential Guessing,Instantly,Pattern Password
167,YP5q2f*zirf%IR#Q_o,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
295,"?$Ywx*Q&l'5lhvb35,y/\+c2",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
135,Travel@World4,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
288,"EyW0Jv""q<:J`LT(l-S/3Oe3S",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
244,"YdUe$VXeiBp{9JrCa*h""#""qT",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
55,Password@123,Weak,Weak,35,78.66,40.66,Dictionary Attack,Few Minutes,Dictionary Password
51,Python@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
175,q-j&V\b><I]?h!%`kd,Strong,Moderate,60,115.06,115.06,Brute Force Attack,Several Days,Strong Random
190,ok?4X$<~G``~5q'v3m,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
299,",{$F[iX^X10P4ypTE_I$kPeZ",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
188,>sn<65wTi)12|i\w-?,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
170,"yCb\P~<8u}\j*G,oUR",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
59,Software@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
49,Student@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
236,"1c^nzdCI<@r4qA(!.))Y@`""@",Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
253,"`@Bt-I:,.:1.eS@H._FtMq!Y",Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
22,qwerty123,Very Weak,Very Weak,10,46.53,3.53,Pattern Attack,Instantly,Common Password
161,"i3,>CvZbHT{h""um}sP",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
277,"R63te~)-:""n/tWKbw+1C_}ZQ",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
192,XcOxugw8nDf{|uq*~$,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
258,">C@n)J21*=MN6v7t&e;,}sIl",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
150,Research@Data7,Moderate,Moderate,55,91.76,71.76,Brute Force Attack,Several Hours,Moderate Password
131,Office@Work22,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
152,OpenAI@Future9,Moderate,Moderate,60,91.76,81.76,Brute Force Attack,Several Days,Moderate Password
100,98769876,Weak,Very Weak,10,26.58,0.0,Sequential Guessing,Instantly,Pattern Password
88,asdfgh1,Weak,Very Weak,10,36.19,0.0,Pattern Attack,Instantly,Pattern Password
215,LM>JEbK8Tw^HV(+1QG8t*]n2,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
122,Jawad@2025,Moderate,Moderate,50,65.55,45.55,Brute Force Attack,Few Minutes,Moderate Password
300,4*:Fo[@A{spk}`_~{fjWbVpO,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
21,qwerty,Very Weak,Very Weak,0,28.2,0.0,Pattern Attack,Instantly,Common Password
189,K$rb}\+c{l2[?{(\i_,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
72,Windows@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
107,gggg7777,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
271,"lU)YApH~0l]""C\8~]^`xKe9U",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
103,cccc3333,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
